Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY
590.000,205.3293,435652.9708,296123.6787,18.09186617,50.52863914
591.000,205.338,435651.975,296123.5874,18.09185213,50.52863821
592.000,205.3262,435650.979,296123.4983,18.09183809,50.52863729
593.000,205.3335,435649.9826,296123.4131,18.09182405,50.52863642
594.000,205.3353,435648.9863,296123.3268,18.09181,50.52863553
595.000,205.322,435647.9902,296123.2389,18.09179596,50.52863463
596.000,205.32,435646.9939,296123.1525,18.09178192,50.52863375
597.000,205.3169,435645.9976,296123.0676,18.09176787,50.52863287
598.000,205.334,435645.0011,296122.9833,18.09175383,50.528632
599.000,205.315,435644.0046,296122.8997,18.09173978,50.52863114
600.000,205.3209,435643.0079,296122.8188,18.09172573,50.52863031
601.000,205.3037,435642.011,296122.7399,18.09171168,50.52862949
602.000,205.3242,435641.0139,296122.6634,18.09169762,50.52862869
603.000,205.3195,435640.0168,296122.5884,18.09168356,50.5286279
604.000,205.31,435639.0195,296122.5139,18.0916695,50.52862712
605.000,205.2923,435638.0223,296122.4396,18.09165544,50.52862635
606.000,205.3116,435637.025,296122.3661,18.09164138,50.52862557
607.000,205.3029,435636.0277,296122.293,18.09162732,50.52862481
608.000,205.2961,435635.0301,296122.2241,18.09161326,50.52862408
609.000,205.3197,435634.0324,296122.1563,18.09159919,50.52862336
610.000,205.3316,435633.0344,296122.0929,18.09158512,50.52862268
611.000,205.2914,435632.0363,296122.0302,18.09157104,50.528622
612.000,205.3102,435631.0381,296121.9717,18.09155697,50.52862137
613.000,205.3025,435630.0398,296121.9134,18.09154289,50.52862073
614.000,205.3053,435629.0412,296121.8594,18.09152881,50.52862014
615.000,205.2853,435628.0426,296121.806,18.09151473,50.52861955
616.000,205.29,435627.0436,296121.7613,18.09150064,50.52861904
617.000,205.2873,435626.0446,296121.7168,18.09148655,50.52861853
618.000,205.2797,435625.0456,296121.6736,18.09147246,50.52861803
619.000,205.2823,435624.0464,296121.632,18.09145837,50.52861754
620.000,205.2832,435623.047,296121.5991,18.09144427,50.52861714
621.000,205.2528,435622.0475,296121.5669,18.09143017,50.52861674
622.000,205.2508,435621.048,296121.5366,18.09141607,50.52861635
623.000,205.28,435620.0483,296121.5093,18.09140197,50.528616
624.000,205.2758,435619.0485,296121.4902,18.09138786,50.52861572
625.000,205.2767,435618.0487,296121.476,18.09137376,50.52861548
626.000,205.2439,435617.0487,296121.4717,18.09135965,50.52861533
627.000,205.266,435616.0487,296121.4717,18.09134554,50.52861522
628.000,205.2677,435615.0487,296121.4783,18.09133142,50.52861517
629.000,205.2763,435614.0488,296121.4926,18.09131731,50.52861519
630.000,205.2462,435613.0491,296121.5159,18.0913032,50.52861529
631.000,205.2582,435612.0496,296121.5459,18.09128909,50.52861545
632.000,205.25,435611.0502,296121.5821,18.09127498,50.52861566
633.000,205.2381,435610.0513,296121.6276,18.09126088,50.52861596
634.000,205.2381,435609.0527,296121.6798,18.09124678,50.52861632
635.000,205.2261,435608.0546,296121.7416,18.09123268,50.52861677
636.000,205.2196,435607.0569,296121.8087,18.09121859,50.52861726
637.000,205.235,435606.0598,296121.8856,18.09120451,50.52861784
638.000,205.2342,435605.0631,296121.9665,18.09119043,50.52861846
639.000,205.2364,435604.0675,296122.0603,18.09117637,50.52861919
640.000,205.2208,435603.0723,296122.158,18.09116231,50.52861996
641.000,205.2195,435602.0798,296122.2794,18.09114828,50.52862095
642.000,205.2089,435601.0878,296122.4059,18.09113426,50.52862198
643.000,205.1767,435600.0974,296122.544,18.09112026,50.52862311
644.000,205.1746,435599.1072,296122.6837,18.09110626,50.52862426
645.000,205.1955,435598.1196,296122.8405,18.0910923,50.52862556
646.000,205.1767,435597.1322,296122.9985,18.09107834,50.52862687
647.000,205.1551,435596.1487,296123.1796,18.09106443,50.52862839
648.000,205.1451,435595.1654,296123.3616,18.09105052,50.52862992
649.000,205.1258,435594.1851,296123.5591,18.09103665,50.52863159
650.000,205.1251,435593.2052,296123.7586,18.09102279,50.52863327
651.000,205.1259,435592.2293,296123.9768,18.09100898,50.52863513
652.000,205.1312,435591.2542,296124.1984,18.09099519,50.52863702
653.000,205.12,435590.2834,296124.4383,18.09098144,50.52863907
654.000,205.1144,435589.314,296124.6836,18.09096772,50.52864117
655.000,205.1031,435588.3503,296124.9505,18.09095408,50.52864346
656.000,205.0966,435587.3883,296125.2233,18.09094046,50.52864581
657.000,205.0949,435586.4311,296125.5128,18.0909269,50.52864831
658.000,205.086,435585.4774,296125.813,18.09091339,50.5286509
659.000,205.0677,435584.5312,296126.1367,18.09089998,50.52865371
660.000,205.0658,435583.5891,296126.4717,18.09088663,50.52865662
661.000,205.071,435582.6539,296126.8257,18.09087337,50.5286597
662.000,205.0571,435581.7227,296127.19,18.09086017,50.52866287
663.000,204.9937,435580.7967,296127.5676,18.09084704,50.52866617
664.000,205.0358,435579.8765,296127.9588,18.09083398,50.52866959
665.000,204.9902,435578.9621,296128.3634,18.09082101,50.52867312
666.000,205.0231,435578.0543,296128.7827,18.09080813,50.5286768
667.000,205.0042,435577.1519,296129.2136,18.09079532,50.52868057
668.000,205.0023,435576.2567,296129.6591,18.09078261,50.52868448
669.000,204.9793,435575.366,296130.1136,18.09076996,50.52868847
670.000,204.9781,435574.4853,296130.587,18.09075745,50.52869263
671.000,204.9635,435573.6094,296131.0696,18.09074501,50.52869688
672.000,204.93,435572.7432,296131.5691,18.0907327,50.52870127
673.000,204.94,435571.8806,296132.075,18.09072044,50.52870573
674.000,204.9547,435571.0303,296132.6012,18.09070835,50.52871037
675.000,204.9258,435570.1834,296133.1329,18.09069631,50.52871506
676.000,204.904,435569.3487,296133.6836,18.09068443,50.52871992
677.000,204.8718,435568.5164,296134.2378,18.09067259,50.52872481
678.000,204.8948,435567.6989,296134.8137,18.09066096,50.5287299
679.000,204.8672,435566.8831,296135.392,18.09064935,50.52873501
680.000,204.8473,435566.0859,296135.9958,18.09063799,50.52874036
681.000,204.8725,435565.2898,296136.6008,18.09062665,50.52874571
682.000,204.8425,435564.5082,296137.2247,18.09061552,50.52875124
683.000,204.8233,435563.7281,296137.8503,18.0906044,50.52875678
684.000,204.7982,435562.9671,296138.4991,18.09059355,50.52876253
685.000,204.8037,435562.2094,296139.1515,18.09058274,50.52876831
686.000,204.8139,435561.4764,296139.8317,18.09057228,50.52877435
687.000,204.78,435560.7481,296140.5168,18.09056189,50.52878043
688.000,204.7868,435560.0426,296141.2255,18.09055181,50.52878673
689.000,204.7704,435559.3428,296141.9397,18.09054181,50.52879308
690.000,204.7472,435558.6612,296142.6715,18.09053207,50.52879959
691.000,204.7364,435557.9854,296143.4084,18.0905224,50.52880614
692.000,204.7229,435557.3222,296144.1569,18.09051291,50.5288128
693.000,204.731,435556.6743,296144.9182,18.09050364,50.52881958
694.000,204.7072,435556.0514,296145.7005,18.09049471,50.52882654
695.000,204.7089,435555.4425,296146.4935,18.09048598,50.52883361
696.000,204.677,435554.8504,296147.2994,18.09047749,50.52884079
697.000,204.6658,435554.2841,296148.1231,18.09046936,50.52884814
698.000,204.6552,435553.7395,296148.9618,18.09046153,50.52885562
699.000,204.6219,435553.2233,296149.8178,18.09045409,50.52886327
700.000,204.638,435552.724,296150.6843,18.0904469,50.528871
701.000,204.6176,435552.2494,296151.5643,18.09044005,50.52887887
702.000,204.6171,435551.7846,296152.4497,18.09043334,50.52888678
703.000,204.635,435551.3581,296153.354,18.09042716,50.52889487
704.000,204.602,435550.9408,296154.2627,18.09042112,50.52890299
705.000,204.6419,435550.5648,296155.1892,18.09041565,50.52891129
706.000,204.5868,435550.1938,296156.1178,18.09041025,50.5289196
707.000,204.5665,435549.8659,296157.0625,18.09040546,50.52892806
708.000,204.5472,435549.5421,296158.0086,18.09040073,50.52893653
709.000,204.56,435549.2577,296158.9673,18.09039655,50.52894513
710.000,204.5704,435548.9816,296159.9282,18.09039249,50.52895374
711.000,204.5349,435548.7441,296160.8996,18.09038897,50.52896245
712.000,204.5549,435548.5185,296161.8736,18.09038562,50.52897119
713.000,204.5247,435548.3245,296162.8547,18.09038271,50.52897999
714.000,204.4924,435548.1452,296163.8383,18.09038001,50.52898882
715.000,204.517,435547.9914,296164.8263,18.09037767,50.52899769
716.000,204.5175,435547.8582,296165.8172,18.09037562,50.52900659
717.000,204.4446,435547.7493,296166.8112,18.09037391,50.52901551
718.000,204.4574,435547.6614,296167.8072,18.0903725,50.52902446
719.000,204.4755,435547.5907,296168.8047,18.09037133,50.52903343
720.000,204.4689,435547.5509,296169.8036,18.09037059,50.52904241
721.000,204.4481,435547.5285,296170.8034,18.0903701,50.5290514
